participant_id,pair_id,trial_id,ref_set_num,ref_set_size,ref_area_multiplier,ref_resulting_area,ref_radius_multiplier,ref_resulting_radius,targ_set_num,targ_set_size,targ_area_multiplier,targ_resulting_area,targ_radius_multiplier,targ_resulting_radius,set_size_ratio,resulting_area_ratio,resulting_radius_ratio
21004,198,21004_198,544,5,1,19124,1,174.32732998759286,663,6,1,12250,1,152.80031837903522,0.8333333333333334,1.5611428571428572,1.1408832902766466
21004,49,21004_49,510,5,1,10695,1,130.39177621420242,1039,10,0.51,6424.9800000000005,0.714142842854285,142.7576273902829,0.5,1.6645966213124397,0.9133787006541257
21004,226,21004_226,548,5,1,16419,1,161.4109864104174,1079,10,0.5,7507.5,0.7071067811865476,154.35753981393444,0.5,2.187012987012987,1.045695510598221
22490,270,22490_270,556,5,1.23,21884.16,1.1090536506409416,186.16681825708298,1070,10,1,15862,1,224.30317357450627,0.5,1.3796595637372335,0.8299785299080682
22490,232,22490_232,549,5,0.76,13211.84,0.8717797887081347,144.65378008013514,659,6,1,18396,1,187.33254781222462,0.8333333333333334,0.7181909110676234,0.7721764411442845
22490,345,22490_345,572,5,1,14173,1,150.09726129327478,761,7,0.82,13782.56,0.9055385138137416,175.08843885492303,0.7142857142857143,1.028328554346943,0.8572654041289628
22490,405,22490_405,587,5,1,12876,1,142.91021179992185,659,6,0.77,14164.92,0.8774964387392122,164.3836435651703,0.8333333333333334,0.9090061927635313,0.86937002186148
22490,224,22490_224,548,5,1,16419,1,161.4109864104174,1052,10,0.82,13531.64,0.9055385138137416,207.3325456773348,0.5,1.2133784227189017,0.7785125383142515
22490,104,22490_104,521,5,1,18907,1,173.24280638961798,766,7,0.93,14268.060000000001,0.9643650760992956,177.97019877884853,0.7142857142857143,1.3251275926790327,0.9734371685727847
22490,98,22490_98,521,5,0.83,15692.81,0.9110433579144299,157.83170806771702,667,6,1,14611,1,166.89714689704252,0.8333333333333334,1.0740407911847238,0.9456824817088222
22490,266,22490_266,556,5,1,17792,1,167.8609670050623,1015,10,0.8,11425.6,0.8944271909999159,190.5945605723539,0.5,1.5572048732670494,0.8807227577795357
22490,226,22490_226,548,5,1,16419,1,161.4109864104174,1079,10,0.86,12912.9,0.9273618495495703,202.43801561847468,0.5,1.2715191784959228,0.7973353518472589
22490,403,22490_403,586,5,1.26,18185.58,1.1224972160321824,170.0493743517984,727,7,1,11265,1,158.07763581632176,0.7142857142857143,1.6143435419440748,1.0757332843046008
22490,405,22490_405,587,5,1,12876,1,142.91021179992185,659,6,0.84,15452.64,0.916515138991168,171.69311609569067,0.8333333333333334,0.8332556766999037,0.8323584256009013
22490,349,22490_349,572,5,1,14173,1,150.09726129327478,866,8,0.86,12703.92,0.9273618495495703,179.5066243971444,0.625,1.1156398969766812,0.8361655832889838
22490,463,22490_463,599,5,1,13217,1,144.96536663854414,943,9,0.91,12986.61,0.9539392014169457,192.71297164500024,0.5555555555555556,1.0177405804902127,0.7522346077750659
22490,126,22490_126,524,5,1.2,24862.8,1.0954451150103321,198.84373617725643,880,8,1,11401,1,170.14926510362145,0.625,2.180756074028594,1.1686429327576582
22490,430,22490_430,590,5,1.16,17749.16,1.0770329614269007,167.961863218836,1091,10,1,13346,1,205.8585459141574,0.5,1.3299235726060243,0.8159091111470095
22490,226,22490_226,548,5,1,16419,1,161.4109864104174,1079,10,0.9,13513.5,0.9486832980505138,207.09237111815256,0.5,1.215007215007215,0.7794154151546581
22490,190,22490_190,542,5,0.93,9292.560000000001,0.9643650760992956,121.3561505376253,890,8,1,13634,1,185.87373511941058,0.625,0.6815725392401351,0.6528956361675449
22490,345,22490_345,572,5,1,14173,1,150.09726129327478,761,7,0.92,15463.36,0.9591663046625439,185.45752425076125,0.7142857142857143,0.9165537114831447,0.8093349779129205
22490,448,22490_448,596,5,1.06,13533.02,1.0295630140987,146.68088714155073,981,9,1,11511,1,181.2743617021041,0.5555555555555556,1.1756598036660586,0.8091651007029758
22490,442,22490_442,596,5,1.16,14809.72,1.0770329614269007,153.44388648332358,740,7,1,11906,1,162.5664775204301,0.7142857142857143,1.243887115739963,0.9438839348908198
22490,104,22490_104,521,5,1,18907,1,173.24280638961798,766,7,0.93,14268.060000000001,0.9643650760992956,177.97019877884853,0.7142857142857143,1.3251275926790327,0.9734371685727847
22490,330,22490_330,571,5,1,15339,1,156.07397921304812,783,7,0.89,14034.41,0.9433981132056604,176.73129135408266,0.7142857142857143,1.092956526138256,0.8831145747718924
22490,345,22490_345,572,5,1.09,15448.570000000002,1.044030650891055,156.70614140498245,761,7,1,16808,1,193.35283500811607,0.7142857142857143,0.9191200618752976,0.8104672548421885
22490,448,22490_448,596,5,1,12767,1,142.46907195860965,981,9,0.95,10935.449999999999,0.9746794344808963,176.68439234969227,0.5555555555555556,1.1674873919226005,0.8063478050547671
22490,126,22490_126,524,5,1,20719,1,181.5186662048157,880,8,0.91,10374.91,0.9539392014169457,162.31205407462883,0.625,1.9970293718210568,1.1183313971330555
22490,338,22490_338,572,5,1.24,17574.52,1.1135528725660044,167.1412364774163,602,6,1,13883,1,162.6793528648229,0.8333333333333334,1.2659021825253909,1.027427473333392
22490,98,22490_98,521,5,0.88,16638.16,0.938083151964686,162.51615787318067,667,6,1,14611,1,166.89714689704252,0.8333333333333334,1.1387420436657314,0.9737503659869965
22490,75,22490_75,516,5,1,11200,1,133.38155696980675,717,7,0.97,16243.619999999999,0.9848857801796105,189.99597843459287,0.7142857142857143,0.6895014781187938,0.7020230536917604
22490,49,22490_49,510,5,1.31,14010.45,1.1445523142259597,149.24020922199884,1039,10,1,12598,1,199.90066247770466,0.5,1.1121170026988412,0.746571859103488
22490,338,22490_338,572,5,1.18,16724.14,1.0862780491200215,163.04736017591665,602,6,1,13883,1,162.6793528648229,0.8333333333333334,1.204648851112872,1.0022621636035123
22490,49,22490_49,510,5,1.32,14117.400000000001,1.1489125293076057,149.8087454111706,1039,10,1,12598,1,199.90066247770466,0.5,1.1206064454675346,0.74941595267539
25990,427,25990_427,590,5,1,15301,1,155.9486749563474,998,9,1.07,19251.440000000002,1.03440804327886,234.54450834557977,0.5555555555555556,0.7947976878612716,0.6649001336947585
25990,330,25990_330,571,5,1,15339,1,156.07397921304812,783,7,0.86,13561.34,0.9273618495495703,173.72714120287552,0.7142857142857143,1.1310829165849392,0.8983856991625025
25990,462,25990_462,599,5,1,13217,1,144.96536663854414,933,9,1.58,15575.640000000001,1.2569805089976536,210.85267748311398,0.5555555555555556,0.8485686623471009,0.6875196861095284
25990,269,25990_269,556,5,1,17792,1,167.8609670050623,1061,10,1.28,19471.36,1.131370849898476,248.58288450399513,0.5,0.9137523008151459,0.6752716195244105
25990,266,25990_266,556,5,0.8,14233.6,0.8944271909999159,150.13941319686742,1015,10,1,14282,1,213.0911967907423,0.5,0.9966111188909117,0.7045782062236285
25990,338,25990_338,572,5,1,14173,1,150.09726129327478,602,6,1,13883,1,162.6793528648229,0.8333333333333334,1.0208888568753152,0.9226571082932503
25990,396,25990_396,585,5,1,11295,1,133.83372202907148,758,7,1.09,12384.580000000002,1.044030650891055,165.6793651387138,0.7142857142857143,0.9120212393153421,0.8077875112390744
25990,405,25990_405,587,5,1.44,18541.44,1.2,171.49225415990622,659,6,1,18396,1,187.33254781222462,0.8333333333333334,1.0079060665362034,0.9154429177560958
25990,270,25990_270,556,5,1,17792,1,167.8609670050623,1070,10,1.54,24427.48,1.2409673645990857,278.35291818196634,0.5,0.728360027313501,0.603050861120584
25990,123,25990_123,524,5,1.01,20926.19,1.004987562112089,182.42400182701576,720,7,1,17736,1,198.37699957494448,0.7142857142857143,1.1798708840775822,0.9195824224476091
25990,113,25990_113,522,5,0.76,12883.52,0.8717797887081347,143.00123999983455,719,7,1,10390,1,152.04556696892524,0.7142857142857143,1.2399923002887392,0.9405156812566646
25990,397,25990_397,585,5,1,11295,1,133.83372202907148,887,8,0.91,14351.61,0.9539392014169457,190.916588698041,0.625,0.7870197141644735,0.7010062506446028
25990,110,25990_110,521,5,0.78,14747.460000000001,0.8831760866327847,153.003903784464,946,9,1,15782,1,212.4370687387185,0.5555555555555556,0.9344481054365734,0.7202316652779992
25990,269,25990_269,556,5,0.82,14589.439999999999,0.9055385138137416,152.00457058910163,1061,10,1,15212,1,219.71830414960914,0.5,0.9590744149355771,0.6918156918123657
25990,75,25990_75,516,5,1,11200,1,133.38155696980675,717,7,0.71,11889.66,0.8426149773176358,162.5502776879475,0.7142857142857143,0.9419949771482111,0.8205557004698768
26713,102,26713_102,521,5,0.49,9264.43,0.7,121.26996447273258,709,7,1,13870,1,175.6280122051119,0.7142857142857143,0.6679473684210526,0.6904932928985393
